device_name,device_os,software_version,uptime,serial_number
dist-rtr02,iosxe,17.3.2,"3 hours, 25 minutes",9X9NDJ21PR5
dist-sw01,nxos,9.2(4),"0 days, 3 hours, 24 minutes",9ORBHMVBPDB
